City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mezen,RU,2020-07-11 21:35:24,65.85,44.24,54.95,97,100,10.11
70,Santa Cruz,BO,2020-07-11 21:32:06,-17.8,-63.17,78.8,69,75,16.11
71,Albany,US,2020-07-11 21:35:24,42.6,-73.97,89.6,52,75,16.11
72,Quatre Cocos,MU,2020-07-11 21:35:24,-20.21,57.76,71.01,73,40,17.22
73,Mataura,NZ,2020-07-11 21:35:25,-46.19,168.86,44.15,93,69,3.31
74,Lakselv,NO,2020-07-11 21:35:25,70.05,24.97,50.0,81,99,6.93
75,Butaritari,KI,2020-07-11 21:35:25,3.07,172.79,82.99,80,17,17.78
76,Villazon,BO,2020-07-11 21:35:25,-22.09,-65.59,45.43,38,0,3.6
77,Kodiak,US,2020-07-11 21:34:41,57.79,-152.41,62.6,63,1,5.82
78,Cherskiy,RU,2020-07-11 21:35:26,68.75,161.3,47.68,80,100,12.62
79,Hobyo,SO,2020-07-11 21:35:26,5.35,48.53,78.98,78,86,30.49
80,Martapura,ID,2020-07-11 21:35:26,-3.42,114.85,73.76,97,100,2.3
81,Victoria,HK,2020-07-11 21:33:00,22.29,114.16,82.99,81,70,11.77
82,Coahuayana,MX,2020-07-11 21:35:27,18.73,-103.68,84.2,74,90,6.49
83,San Cristobal,VE,2020-07-11 21:35:14,7.77,-72.22,86.0,51,40,24.16
84,Chardara,KZ,2020-07-11 21:35:27,41.25,67.97,77.9,44,95,7.16
85,Yellowknife,CA,2020-07-11 21:33:10,62.46,-114.35,75.0,56,75,8.05
86,Castro,BR,2020-07-11 21:35:28,-24.79,-50.01,58.73,86,0,5.77
87,Bubaque,GW,2020-07-11 21:35:28,11.28,-15.83,78.62,89,100,16.55
88,Falkenberg,SE,2020-07-11 21:35:28,56.91,12.49,57.2,67,0,14.99
89,Mayo,US,2020-07-11 21:35:28,38.89,-76.51,90.0,46,75,3.36
90,Port Elizabeth,ZA,2020-07-11 21:35:28,-33.92,25.57,50.0,66,6,9.17
91,Guerrero Negro,MX,2020-07-11 21:35:29,27.98,-114.06,89.87,28,0,16.71
92,Hay River,CA,2020-07-11 21:35:29,60.82,-115.8,75.2,47,75,12.75
93,Scottsbluff,US,2020-07-11 21:35:29,41.87,-103.67,91.0,25,1,4.7
94,Kushiro,JP,2020-07-11 21:35:29,42.98,144.37,60.17,92,100,8.57
95,Longyearbyen,SJ,2020-07-11 21:35:29,78.22,15.64,44.6,70,75,21.92
96,Bluff,NZ,2020-07-11 21:31:15,-46.6,168.33,49.64,76,99,19.82
97,Dingle,PH,2020-07-11 21:35:30,11.0,122.67,77.16,86,100,1.77
98,Pisco,PE,2020-07-11 21:35:30,-13.7,-76.22,63.0,77,40,9.17
99,Dembi Dolo,ET,2020-07-11 21:35:30,8.53,34.8,58.3,100,99,2.91
100,Broken Hill,AU,2020-07-11 21:35:30,-31.95,141.43,41.0,86,75,4.7
101,Kaniama,CD,2020-07-11 21:35:31,-7.57,24.18,71.28,56,23,2.51
102,Yomou,GN,2020-07-11 21:35:31,7.56,-9.27,69.35,98,100,2.44
103,Xai-Xai,MZ,2020-07-11 21:35:31,-25.05,33.64,66.33,53,5,13.42
104,Hazorasp,UZ,2020-07-11 21:35:31,41.32,61.07,77.0,50,0,4.7
105,Haifa,IL,2020-07-11 21:35:32,32.82,34.99,78.01,86,0,5.46
106,Tautira,PF,2020-07-11 21:35:32,-17.73,-149.15,84.2,51,20,19.46
107,Kavkazskiy,RU,2020-07-11 21:35:32,44.27,42.23,75.2,47,0,4.47
108,Porto Walter,BR,2020-07-11 21:35:32,-8.27,-72.74,81.32,65,92,1.52
109,Avera,US,2020-07-11 21:35:32,33.19,-82.53,95.0,49,1,4.7
110,Frontera,MX,2020-07-11 21:35:32,26.93,-101.45,106.0,15,20,4.7
111,Ekpoma,NG,2020-07-11 21:35:33,6.74,6.14,68.88,100,94,3.27
112,Hamilton,US,2020-07-11 21:35:33,39.18,-84.53,89.01,40,20,10.29
113,Yarega,RU,2020-07-11 21:35:33,63.44,53.58,61.11,61,100,4.07
114,Santa Isabel Do Rio Negro,BR,2020-07-11 21:35:33,-0.41,-65.02,81.3,80,72,0.74
115,Kaeo,NZ,2020-07-11 21:35:34,-35.1,173.78,48.99,3,16,3.0
116,Bethel,US,2020-07-11 21:35:34,41.37,-73.41,82.0,74,20,9.17
117,Barrow,US,2020-07-11 21:35:34,71.29,-156.79,35.6,80,90,8.05
118,Ahipara,NZ,2020-07-11 21:35:34,-35.17,173.17,55.63,73,37,4.92
119,Ribeira Grande,PT,2020-07-11 21:35:34,38.52,-28.7,71.6,83,20,11.41
120,Yatou,CN,2020-07-11 21:35:35,37.15,122.38,71.31,82,100,4.61
121,Mount Isa,AU,2020-07-11 21:30:37,-20.73,139.5,53.6,46,0,16.11
122,Henties Bay,NA,2020-07-11 21:35:35,-22.12,14.28,55.0,83,0,1.01
123,Aldan,RU,2020-07-11 21:35:35,58.6,125.39,74.1,58,0,5.88
124,Ribeira Brava,PT,2020-07-11 21:35:35,32.65,-17.07,70.0,80,0,4.0
125,Ouadda,CF,2020-07-11 21:35:36,8.08,22.4,68.29,94,100,1.05
126,Pangnirtung,CA,2020-07-11 21:35:36,66.15,-65.71,53.01,53,85,2.44
127,Kolosovka,RU,2020-07-11 21:35:36,56.47,73.61,63.05,96,70,7.38
128,Tiksi,RU,2020-07-11 21:35:36,71.69,128.87,49.23,72,100,7.23
129,Kamenka,RU,2020-07-11 21:35:37,51.32,42.77,61.0,75,0,3.0
130,Vaini,TO,2020-07-11 21:35:37,-21.2,-175.2,73.4,78,75,14.99
131,San Patricio,MX,2020-07-11 21:35:37,19.22,-104.7,86.0,74,90,5.82
132,Boa Vista,BR,2020-07-11 21:35:37,2.82,-60.67,80.6,83,40,4.7
133,Ilmajoki,FI,2020-07-11 21:35:37,62.73,22.57,51.01,100,96,3.67
134,Meulaboh,ID,2020-07-11 21:35:38,4.14,96.13,75.25,88,100,3.96
135,Mgachi,RU,2020-07-11 21:35:38,51.05,142.27,61.83,79,61,1.5
136,Linxia,CN,2020-07-11 21:35:38,35.6,103.21,50.68,80,0,1.72
137,Katsuura,JP,2020-07-11 21:35:38,35.13,140.3,78.01,93,100,3.0
138,Tateyama,JP,2020-07-11 21:35:39,34.98,139.87,79.0,100,100,1.99
139,Carnarvon,AU,2020-07-11 21:35:39,-24.87,113.63,55.4,32,0,11.41
140,Mehamn,NO,2020-07-11 21:35:39,71.04,27.85,46.83,85,100,4.21
141,Sa Kaeo,TH,2020-07-11 21:35:39,13.81,102.07,76.6,90,100,2.51
142,Biak,ID,2020-07-11 21:35:39,-0.91,122.88,75.81,81,77,6.29
143,Saldanha,ZA,2020-07-11 21:35:40,-33.01,17.94,46.4,81,25,2.24
144,Carballo,ES,2020-07-11 21:35:40,43.21,-8.69,68.0,72,0,9.17
145,Cayenne,GF,2020-07-11 21:33:53,4.93,-52.33,84.2,70,20,9.17
146,Avarua,CK,2020-07-11 21:35:40,-21.21,-159.78,77.0,78,96,8.05
147,Mont-Dore,NC,2020-07-11 21:35:41,-22.28,166.58,69.01,99,81,11.68
148,Makarska,HR,2020-07-11 21:35:41,43.3,17.02,80.6,39,0,6.93
149,Sao Filipe,CV,2020-07-11 21:35:41,14.9,-24.5,74.46,81,24,6.44
150,Isangel,VU,2020-07-11 21:35:41,-19.55,169.27,75.2,69,20,13.87
151,Port Alfred,ZA,2020-07-11 21:35:42,-33.59,26.89,52.0,78,42,5.01
152,Thompson,CA,2020-07-11 21:35:42,55.74,-97.86,62.6,72,90,3.36
153,Kidal,ML,2020-07-11 21:35:42,18.44,1.41,91.71,33,72,15.14
154,Morondava,MG,2020-07-11 21:35:42,-20.28,44.28,69.01,62,0,3.8
155,Soyo,AO,2020-07-11 21:35:42,-6.13,12.37,71.69,84,13,6.85
156,Kaitangata,NZ,2020-07-11 21:35:43,-46.28,169.85,48.99,74,74,4.0
157,Saint-Pierre,RE,2020-07-11 21:33:48,-21.34,55.48,66.2,82,27,4.7
158,Yabrud,SY,2020-07-11 21:35:43,33.97,36.66,71.6,73,0,20.8
159,Ponta Do Sol,PT,2020-07-11 21:35:43,32.67,-17.1,70.0,80,0,4.0
160,Ransang,PH,2020-07-11 21:35:43,8.96,117.58,78.75,74,100,2.53
161,Xining,CN,2020-07-11 21:35:43,36.62,101.77,48.83,80,1,1.86
162,Tucuman,AR,2020-07-11 21:35:44,-26.82,-65.22,64.4,45,0,3.36
163,North Platte,US,2020-07-11 21:32:55,41.12,-100.77,86.0,37,1,12.75
164,Raga,SS,2020-07-11 21:35:44,8.46,25.68,69.4,95,94,3.87
165,Berlevag,NO,2020-07-11 21:35:44,70.86,29.09,46.85,88,94,4.59
166,Tukrah,LY,2020-07-11 21:35:45,32.53,20.58,74.17,72,0,5.95
167,Vung Tau,VN,2020-07-11 21:35:45,10.35,107.08,80.69,81,100,4.76
168,Luderitz,NA,2020-07-11 21:35:45,-26.65,15.16,53.6,81,0,5.82
169,Leshukonskoye,RU,2020-07-11 21:35:45,64.9,45.76,56.68,96,100,8.3
170,Smithers,CA,2020-07-11 21:35:45,54.78,-127.17,59.0,62,75,13.87
171,Clyde River,CA,2020-07-11 21:32:44,70.47,-68.59,53.6,66,20,13.87
172,Ostrovnoy,RU,2020-07-11 21:35:46,68.05,39.51,52.27,81,46,5.73
173,Tabas,IR,2020-07-11 21:35:46,33.6,56.92,91.4,22,0,11.41
174,Genhe,CN,2020-07-11 21:35:47,50.78,121.52,66.92,67,12,0.98
175,Urbano Santos,BR,2020-07-11 21:35:47,-3.21,-43.4,76.19,83,6,2.26
176,Chokurdakh,RU,2020-07-11 21:35:47,70.63,147.92,58.12,58,74,7.72
177,Sitio Novo Do Tocantins,BR,2020-07-11 21:35:47,-5.52,-47.46,76.39,82,30,3.11
178,Kruisfontein,ZA,2020-07-11 21:35:47,-34.0,24.73,46.56,68,49,7.67
179,Nakhon Phanom,TH,2020-07-11 21:35:47,17.41,104.78,77.94,84,100,3.06
180,Touros,BR,2020-07-11 21:35:48,-5.2,-35.46,73.4,94,90,6.93
181,Lulea,SE,2020-07-11 21:35:48,65.58,22.15,57.2,82,44,4.7
